country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,africa,laam,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lpop,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,asiae,oecd,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,wom_1st,yr_1st,wom_2nd,yr_2nd,wom_3rd,yr_3rd,wom_4th,yr_4th,LFTPARTY,FEMSUFRG,DEMOC,MARXLEN,FEMEDUC,FEMLABOR,FEMPROF,FEMORG,GDPPC,REL.CATH,REL.ISLM,REL.OTHR,RATIFIC,ABORTLEG
Latvia,0,0,941,0,8,0,0,0.968,0,1,0,0,0,14.1,18.2,0,0.613722,4.864724,5.52715,,,,,,,,,2.25,31.39015,29.47863,12.92269,2936.436,106.1514,66.41887,12.9966,0,0,0,88.05714,0,1991,1991,133.6667,0,0,7.984952,0,0,0,0,1991,0.9392995,,0.045,8,-1.66478,6.833333,0,0.0499502,0.05,0,0,0.1581098,,0,0,1,133.6667,0,,0,0,,0,1,21,2002,17,1998,9,1995,15,1993, ,1918,6,0,51,47, ,2,3332,0,0,1,1,1
Luxembourg,0,1,137,0,160,0,0,0.36,0,0,1,0,0,1.2,93,0,0.2166667,1.652689,1.65749,10.46142,8.91999,0.8,1,0,0,5.639,49.78,1,40.17635,45.45095,21.32378,18801.71,188.9888,68.04094,14.23658,0,0,0,88.88,0,1918,1879,60,0,0,9.841703,0,0,0,0,1879,-0.908419,0.5531111,0.605,10,1.012643,1.3225,1,0.0666667,0.0666667,0,1,0.1407224,27,0,0,0,60,0,0,0,0,0,0,1,16.7,1999,20,1994,13.3,1989,,,71.7,1919,7,0,49,32,37.88819876,4,34155,1,0,0,1,1
Malawi,1,1,676,1,35,0.86,0,0,1,0,0,0,0,31.5,27.6,0,0.6224,6.24968,5.389066,6.95436,6.54722,0,0.503,0,0,2.539,-15.811,4.166667,25.76205,,,530.2225,62.4826,50.61634,2.589323,0,1,0,73.55,0,1994,1994,177,1,1,6.273297,0,0,1,0,1994,2.251866,0.1756778,0.03,0,-1.604963,5.9,0,1,1,0,0,,62,0,0,1,0,4.166667,62,0.03,4.166667,62,0.03,0,9.3,1999,5.6,1994,11.6,1992,,, ,1961,6,0,28,40,28.05755396,0,694,0,0,0,1,0
Malaysia,1,1,548,1,42,0.832,0,0,1,0,0,0,0,1.4,2.8,0,0.6103704,3.571808,3.733168,9.15605,8.02743,1,0.687,0,0,2.823,3.269,4.555555,24.47133,26.75087,1.457034,6459.11,176.0599,60.1374,3.999706,1,0,0,78.7375,0,1957,1957,185.3333,1,0,8.773247,0,1,0,0,1957,3.002818,0.0363222,0.215,10,1.135423,4.865,1,1,1,1,0,7.597346,49.675,0,1,0,0,4.555555,49.675,0.215,0,0,0,0,10.4,1999,7.8,1995,6.1,1990,,, ,1957,4,0,48,36,46.52406417,1,8865,0,1,0,1,0
Malta,0,1,181,1,35,0.86,0,0,0,0,1,0,0,0.5,97.3,0,0.1033333,3.742489,4.005234,9.70619,8.52926,0.535,0.622,0,0,4.586,35.887,1,40.98212,34.95761,13.84177,8195.759,190.4717,66.62973,10.96175,0,0,0,95.55714,0,1964,1964,65.88889,0,0,9.011372,0,0,0,0,1964,-1.001818,0.3987445,0.18,,-5.01684,,1,0.1974235,0.1884058,0,0,3.048202,,0,1,0,65.88889,0,,0,0,,0,1,9.2,1998,5.8,1996,1.5,1992,,, ,1947,7,0,45,23, ,1,13009,1,0,0,1,0
Mauritius,1,1,684,1,31,0.876,0,0,0,0,1,0,0,0.9,31.2,0,0.7084848,4.655652,4.327274,9.13435,8.57601,1,0.704,0.003,0.567,3.438,-20.232,1.611111,22.50179,21.64505,3.799618,6666.765,128.1165,65.95277,6.26111,0,1,0,80.17142,1,1968,1968,63.77778,1,0,8.80489,0,1,0,0,1968,0.1032242,0.2248,0.16,10,-1.067292,5.133333,1,0.3295861,,0,0,0.1313363,41.35,0,1,0,0,1.611111,41.35,0.16,0,0,0,0,5.7,2000,7.6,1995,2.8,1991,,, ,1956,7,0,48,26,35.06493506,3,13172,0,0,1,1,0
Mexico,0.6,0.6,273,0,189,0,0.244,0,0,0,1,0,0,1.2,94.7,0,0.1740741,4.642269,5.554252,9.63754,8.74995,0.2,0.592,0,0.88,1.509,16.759,3.777778,15.48577,15.1672,3.002081,6207.811,47.54999,59.50018,4.272914,1,0,1,85.87143,0.2,1994,1994,500,0,1,8.733563,1,0,0,1,1994,4.4944,0.1862111,0.03,2.666667,0.4022436,6.81,1,0.602,0.0239234,0,0,1.4904,50.5,0,0,1,200,0,0,0,3.777778,50.5,0.03,0,16,2000,17.4,1997,14.2,1994,7.6,1991, ,1947,4,0,47,28,43.18181818,1,7384,1,0,0,1,0
Namibia,0,0,728,0,9,0,0,0.964,1,0,0,0,0,64.2,19.1,0,0.7283,4.911178,4.236182,8.83613,7.70063,0.275,0.462,0.067,0.088,3.059,-17.979,2.444444,37.2732,33.23447,,2764.12,114.6249,53.96959,3.699706,0,1,0,105.025,0,1990,1990,78,0,1,7.924478,0,0,0,1,1990,0.4083683,0.1997667,0.05,8,-3.388912,4.666667,0,0.1695157,0.3026316,0,0,12.77462,,0,0,1,78,0,,0,2.444444,,0.05,0,25,1999,22.2,1994,6.9,1989,,, ,1989,6,0,56,24,40.82840237,0,4027,0,0,0,1,0
Nepal,1,1,558,0,250,0,0,0,1,0,0,0,0,0,0,0,0.45,,,,,4.089,,0,0,2.585,27.712,3.333333,16.97054,9.739206,0.3011621,1147.167,49.82251,53.77916,3.626628,0,0,0,76.7,0,1990,1990,197.4444,1,0,7.045051,0,1,0,0,1990,3.034151,0.3079111,0.05,5,-5.337309,,1,1,0.2054794,1,0,0.5063776,30,0,0,1,0,3.333333,30,0.05,0,0,0,0,0,1999,3.4,1994,1991,3.4,,, ,1951,5,0,20,32,36.30573248,0,1137,0,0,1,1,0
Netherlands,0,0,138,0,250,0,0,0,0,0,1,0,0,42.4,42.6,0,0.0634354,0.9395175,0.9471855,10.2594,8.7713,0.8,0.988,0,0,3.579,51.874,1,51.17833,47.6013,19.11685,13820.43,100.3399,68.47264,13.20252,0,0,0,117.1143,0,1917,1917,150,0,0,9.533903,0,0,0,0,1917,2.732273,0.5763778,0.415,10,-2.623437,1.111667,1,0.12,0.1371429,0,1,2.734597,29,0,0,0,150,0,0,0,0,0,0,1,36,1998,31.1,1994,,,,,45.3,1919,7,0,48,31,42.52873563,2,19238,0,0,0,1,1
New Zeland,0.8472222,0.8472222,196,1,92,0.632,0,0,1,0,0,0,0,37.9,18.7,0,0.1475699,1.857426,0.8501158,10.14265,8.36672,0.2,0.986,0.9,0.9,2.103,-36.892,1,35.98045,36.41199,13.46895,12088.63,58.07035,64.95579,12.12238,0,0,0,101.45,0,1906,1906,105.3333,1,0,9.400021,0,0.6666667,0,0,1906,1.270993,0.4099111,0.47,10,1.635295,0.5983335,1,0.85,0.1383285,0,1,1.350698,38,0,0,0,16.09259,1,38,0.47,0,0,0,0,28.3,2002,30.8,1999,29.2,1996,21.2,1993,41.7,1893,7,0,49,36,47.91666667,1,16851,0,0,0,1,0
Nicaragua,0,0,278,0,178,0,0.288,0,0,0,1,0,0,4.4,94.7,0,0.0991796,6.094335,6.672212,8.40128,7.5563,0.333,0.523,0.009,0.655,3.155,12.211,3.444444,31.00764,23.49779,5.0653,1322.485,87.20344,51.95702,3.019467,0,0,1,78.4875,0.0537634,1990,1990,90,0,1,7.187268,0,0,0,1,1990,1.460596,0.1356778,0.05,6.888889,-0.8717377,6.95,1,0.1333333,0.1135647,0,0,0.6999679,50,0,0,1,90,0,0,0,3.444444,50,0.05,0,20.7,2001,9.7,1996,16.3,1990,,, ,1955,5,0,53,30, ,1,1580,1,0,0,1,0
Norway,0,0,142,0,94,0,0,0.624,0,0,0,0,1,97.8,0.3,0,0.0698837,1.667565,1.626909,10.20004,8.46829,0.778,0.968,0,0,3.159,59.977,1,39.8812,41.10329,14.82228,16720.48,72.23154,64.72184,16.07296,0,0,0,106.7714,0,1919,1898,165,0,0,9.724389,0,0,0,0,1898,1.466678,0.6664111,0.51,10,-1.66249,1.1,1,0.1151515,0.1151515,0,1,12.94106,33,0,0,0,165,0,0,0,0,0,0,1,38.2,2001,36.4,1997,39.4,1993,,,44.8,1913,7,0,50,41,56.52173913,4,21346,0,0,0,1,1
Pakistan,1,1,564,1,52,0.792,0,0,1,0,0,0,0,0.8,0.5,0,0.6216,6.488889,6.537586,8.42324,8.25711,0,0.453,0,0,2.084,31.173,4.277778,23.11274,17.22882,,1451.741,38.71352,53.93,3.040669,0,0,0,42.15,,1988,1988,217,1,1,7.280519,0,0,1,0,1988,4.783741,0.3463667,0.06,7.777778,-7.267537,7.864,0,1,0.1,1,0,0.534923,31.735,0,0,1,0,4.277778,31.735,0.06,4.277778,31.735,0.06,0,21.3,2002,2.3,1997,1.8,1993,0.9,1990, ,1947,4,0,26,13,18.03278689,0,2154,0,1,0,1,0
Papua N. Guin,1,1,853,1,24,0.904,0,0.904,1,0,0,0,0,58.4,32.8,0,0.8027273,6.388548,6.707344,7.9209,7.30179,0,0.625,0.015,0.015,2.319,-6.6,2.777778,30.81113,23.75834,0.3005187,1688.24,102.1299,57.51697,2.792986,0,0,0,46.6,0,1975,1975,107.7778,1,0,7.431442,0,1,0,0,1975,1.429777,0.0733333,0.125,10,-4.127749,,1,1,1,1,0,16.74266,,0,1,0,0,2.777778,,0.125,0,,0,0,0.9,2002,1.8,1997,0,1992,,, ,1964,6,0,31,38,29.57746479,0,2821,0,0,0,1,0
Paraguay,0,0,288,0,188,0,0.248,0,0,0,1,0,0,1.9,96,0,0.4111111,7.20031,6.916741,8.70208,7.85704,0.133,0.486,0,0.036,2.345,-25.583,3.333333,11.975,13.14907,1.779752,2202.636,86.43324,54.81356,3.830394,0,0,1,76.85,0.6875,1992,1992,77.33334,0,1,7.69741,0,0,0,1,1989,1.550572,0.2842556,0.055,5.777778,1.183004,8.25,1,0.2333333,0.0280676,0,0,0.3580757,42.5,0,0,1,77.33334,0,0,0,3.333333,42.5,0.055,0,2.5,1998,1993,2.5,5.6,1989,,, ,1961,4,0,50,20,51.2195122,1,3531,1,0,0,1,0
Peru,0,0,293,0,178,0,0.288,0,0,0,1,0,0,2.7,95.1,0,0.4315909,4.653071,5.399045,9.03439,7.93364,0.489,0.438,0,0.564,1.95,-11.794,4.388889,17.27761,13.64952,,2410.246,25.88982,59.25119,4.255049,0,0,1,97.2875,0.6,1979,1979,153.3333,0,1,7.787484,0,0,0,1,1979,3.142715,0.1310444,0.105,2.111111,-1.245509,5.533333,1,0.0067901,0.0083333,0,0,1.895112,44,0,1,0,153.3333,0,0,0,4.388889,44,0.105,0,18.3,2001,20,2000,10.8,1995,8.8,1992, ,1955,4,0,45,24,40.82840237,1,3645,1,0,0,1,0
Philippines,0.9777778,0.9777778,566,0,53,0,0.788,0.788,0,0,1,0,0,3.8,84.1,0,0.7238207,4.747079,5.456181,8.40576,7.32593,0.156,0.407,0,0,2.179,13.922,2.944444,18.89076,18.18111,0.4373562,1759.439,80.63206,57.64063,3.556657,0,0,0,98.7375,0.359375,1990,1987,202.8889,1,1,7.47275,0,0,0.8888889,0.1111111,1987,4.2308,0.1546889,0.065,7.888889,-0.7918076,6.965,1,0.9782051,0.0087719,1,0,1.043809,45.5,0,0,1,4.508642,2.944444,45.5,0.065,2.944444,45.5,0.065,0,17.8,2001,12.4,1998,8.8,1995,10.7,1992, ,1937,6,0,53,31,63.23529412,7,2681,1,0,0,1,0
Poland,0,1,964,0,81,0,0,0.676,0,1,0,0,0,0.1,81,0,0.039,3.651956,4.016194,9.04059,7.3767,0.111,0.694,0,0.04,2.628,50.244,1.777778,39.48863,40.33121,19.75605,4330.115,48.27744,66.04733,10.82261,0,0,0,95.9,0.0657609,1989,1989,460,0,0,8.373349,0,0,0,0,1989,3.649943,0.5582666,0.055,8.111111,-1.666985,5.29,0,0.1130435,0.1236873,0,0,3.355171,25.555,0,0,1,460,0,0,0,0,0,0,1,20.2,2001,13,1997,13,1993,9.6,1991, ,1918,7,0,50,45,60.31746032,0,5002,1,0,0,1,0
Portugal,0,0,182,0,250,0,0,0,0,0,1,0,0,1.1,94.1,0,0.0025,2.697592,2.564186,9.46966,8.54628,0.778,0.811,0,1,2.933,38.816,1.055556,41.66164,34.53674,12.21131,8104.759,68.45359,66.1926,15.20466,0,0,0,107.9667,0,1976,1976,232.2222,0,0,9.000207,0,0,0,0,1976,2.293511,0.4312889,0.12,10,-4.234857,3.556667,1,0.0948019,0.0946237,0,1,0.4259682,36.5,0,1,0,232.2222,0,0,0,0,0,0,1,19.1,2002,18.7,1999,13,1995,8.7,1991,,1931,7,0,48,36,54.33789954,3,12326,1,0,0,1,0
Romania,0,0,968,0,118,0,0,0.528,0,1,0,0,0,5.8,4.9,0,0.122,6.139097,5.914096,8.29618,7.10976,0.067,0.516,0,0.02,2.934,44.526,3.555556,33.38912,31.83452,9.49747,1704.853,55.68492,67.28332,11.49887,0,0,0,85.62857,0,1989,1989,353.2222,0,0,7.441234,0,0,0,0,1989,3.125849,0.4947333,0.055,6,-1.951381,6.84,0,0.1193657,0.1689036,0,0,2.810431,22.9,0,0,1,353.2222,0,0,0,0,0,0,1,10.7,2000,7.3,1996,4.1,1992,3.6,1990, ,1946,6,0,47,45,52.60663507,0,4037,0,0,1,1,1
Russia,0.5,0.5,922,0,250,0,0,0,0,1,0,0,0,0,1.4,0,0.333093,6.189031,6.232836,,,,,,,,,3.5,26.26176,12.9826,8.059633,1890.336,53.87101,67.15011,11.42976,1,0,0,95.65,0.5,1992,1992,450,0,1,7.54451,1,0,0,1,1992,4.997628,,0.04,3.333333,-7.744335,7.65,0,0.5,0.0088496,0,0,,,0,0,1,225,0,,0,3.5,,0.04,0,7.6,1999,10.2,1995,13.4,1993,,, ,1918,5,0,56,45, ,2,4828,0,0,1,1,1
Senegal,0.4259259,0.4259259,722,0,39,0,0,0,0,0,1,0,0,0.1,5.6,0,0.7789,4.905214,5.470986,7.8399,7.80923,0,0.487,0,0,2.989,14.772,4,,,,1116.279,65.39255,52.03586,2.682332,0,1,0,40.05,0.5520833,,,122.2222,0,0,7.017756,1,0,0,0,1975,2.096627,0.1641333,0.125,-1,,6.6,0,0.2542328,0.02661,0,0,0.7450961,54.12,0,0,1,70.1646,0,0,0,0,0,0,1,19.2,2001,12.1,1998,11.7,1993,,, ,1945,4,0,33,38,16.66666667,1,1596,0,1,0,1,0
Singapore,1,1,576,1,34,0.864,0,0.864,1,0,0,0,0,2.6,4.7,1,0.3215287,0.8356037,1.104988,9.97443,8.90159,1,0.859,0.089,0.089,3.89,1.355,4.666667,18.48176,34.67464,0.650752,14737.04,343.3866,71.70319,6.231132,0,0,0,83.4,,,,80.22222,1,0,9.59812,0,1,0,0,1965,1.075677,0.0150556,0.175,-2,12.58898,0.9966664,0,0.2998831,,1,0,0.1105602,40,0,0,1,0,4.666667,40,0.175,0,0,0,0,16,2001,6.5,1997,3.1,1991,,, ,1947,4,0,50,36,40.47619048,0,20987,0,0,1,1,1
Slovak Republic,0,1,936,0,6,0,0,0.976,0,1,0,0,0,8.4,74,0,0.253713,5.063509,4.939823,,,,,,,,,2.5,40.38233,,11.70964,4952.167,119.4016,66.07475,10.70185,0,0,0,94.26,,1993,1993,150,0,0,8.507581,0,0,0,0,1993,1.673845,,0.035,7.166667,,6.3,0,0.0266666,,0,0,1.002612,19.49,0,0,1,150,0,0,0,0,0,0,1,16.7,2002,14,1998,14.7,1994,18.1,1992, ,1920,6,0,48,47,57.80590717,0,6389,1,0,0,1,1
South Africa,0,0,199,1,89,0.644,0,0.644,1,0,0,0,0,39,10.4,0,0.831,5.019648,4.402271,9.09035,8.04932,0.089,0.74,0.09,0.09,2.186,-29.13,2.944444,31.33985,24.08896,,3117.363,43.85324,60.27135,4.313209,0,1,0,110.6667,0.125,1994,1994,400,0,0,8.044743,1,0,0,0,1910,3.645408,0.3236667,0.45,7.857143,-5.514829,4.758333,0,0.0225,0.0350536,0,0,7.480709,62.3,0,0,1,400,0,0,0,0,0,0,1,29.8,1999,25,1994,,,,, ,1930,7,0,54,36,50.73891626,4,4291,0,0,0,1,0
South Korea,0.7814938,0.7814938,542,0,51,0,0,0.796,0,0,0,1,0,12.2,3.9,1,0,4.182635,4.681627,9.50921,8.28269,0.6,0.735,0,0,2.664,37.553,2.166667,17.06728,19.04067,1.617868,8482.964,62.85624,70.52384,5.559429,0,0,0,97.44286,0.2211539,1988,1988,299,0,1,9.045815,1,0,0,1,1988,3.79741,0.4172556,0.06,6.222222,-0.3447929,5.733334,0,0.7848383,0.0730159,1,0,0.3933304,,0,0,1,65.33334,0,,0,2.166667,,0.06,0,20.1,1998,2,1992,20.1,1990,,, ,1948,6,0,45,34,42.52873563,0,10656,0,0,1,1,0
Spain,0.0057143,0.0057143,184,0,250,0,0,0,0,0,1,0,0,0.1,96.9,0,0.2745161,1.793459,2.571479,10.09243,8.92855,0.778,0.802,0,0.728,2.516,37.398,1.333333,36.19315,31.22604,14.10439,10102.77,45.26283,67.78303,15.15123,0,0,0,111.9,0,1978,1978,350,0,0,9.220565,0,0,0,0,1978,3.666605,0.4155333,0.11,10,-5.234409,4.29,1,0.1485714,0.1761194,0,1,0.5123852,25.5,0,1,0,348,0,0,0,0,0,0,1,28.3,2000,24.7,1996,16,1993,,,,1931,7,0,50,25,47.08994709,4,14324,1,0,0,1,0
Sri Lanka,0.0004938,1,524,1,51,0.796,0,0,1,0,0,0,0,0.4,6.8,1,0.3257469,6.223356,5.247889,8.60818,7.89489,0.4,0.463,0.009,0.009,2.635,6.868,4.222222,27.38108,19.81513,4.386837,2441.693,76.01492,63.97582,5.82058,0,0,0,87.6,0.1288889,1978,1948,225,0,1,7.800447,0,0,0,1,1948,2.883372,0.0763111,0.26,5,-7.357727,,1,0.1022222,0.0869672,1,0,1.146328,37.55,1,1,0,224.8889,0,0,0,4.222222,37.55,0.26,0,4.4,2001,4,2000,4.9,1994,,, ,1931,5,0,51,27,45.05494505,5,3277,0,0,1,1,0
St. Vincent&G,1,1,364,1,20,0.92,0,0,1,0,0,0,0,40.7,19.4,0,0,,,,,,,1,1,4.375,13.254,1.444444,34.78068,28.66901,2.412192,3403.561,123.441,67.92807,2.295852,0,0,1,,0,1978,1978,15,1,0,8.132578,0,1,0,0,1978,-2.205206,0.1472667,0.11,,-3.587918,,1,1,1,0,0,0.2584996,,0,1,0,0,1.444444,,0.11,0,,0,0,22.7,2001,4.8,1998,9.5,1994,,, ,1951,6,0,59,36,54.33789954, ,5650,0,0,0,1,0
Sweden,0,0,144,0,250,0,0,0,0,0,0,0,1,68.4,1.4,0,0.0650368,1.854394,0.8293262,10.23588,8.71764,0.778,0.987,0,0,2.903,59.278,1,44.75311,40.84713,22.38471,14414.44,68.05694,64.03426,17.43001,0,0,0,111.6143,0.1117479,1917,1917,349,0,0,9.575986,0,0,0,0,1917,2.168636,0.6586444,0.415,10,-5.921899,0.7333334,1,0.0830945,0.0704603,0,1,0.2735882,32.48,0,0,0,349,0,0,0,0,0,0,1,45.3,2002,42.7,1998,40.4,1994,33.5,1991,57.6,1921,7,0,51,44,55.94713656,5,18540,0,0,0,1,1
Switzerland,0.025,1,146,0,250,0,0,0,0,0,0,1,0,43.2,52.8,0,0.307598,1.027495,0.8565388,10.34061,8.70245,1,1,0,0.84,3.483,47.408,1,26.49568,22.1281,12.73358,15878.56,68.89883,68.16419,14.67307,1,0,0,97.48333,0,1918,1874,200,0,1,9.672725,0,0,0,1,1848,1.940052,0.5267556,0.76,10,-1.466492,1.245,1,0.13,0.2113821,0,1,,37,0,0,0,195,0,0,0,1,37,0.76,0,23,1999,21,1995,17.5,1991,,,33,1971,7,0,51,35,37.88819876,2,24967,0,0,0,1,0
Taiwan,0.7822222,0.7822222,924,0,50,0,0,0.8,0,0,0,1,0,3,1.5,1,0.2551,2.412672,3.748614,9.66696,8.57392,0.711,0.823,0,0,2.886,25.259,3,15.58773,13.87448,2.68499,10115.9,90.7401,,,0,0,0,,,1992,1992,179.25,0,0,9.221864,1,0,0,0,1992,3.045975,0.2806556,0.04,5.777778,-1.70348,4.753333,0,,,1,0,,29.035,0,0,1,,0,0,0,0,0,0,1,,,,,,,,, , ,6,0, , , ,0, ,0,0,1,0, 
Thailand,1,1,578,0,250,0,0,0,1,0,0,0,0,0.2,0.4,1,0.3569488,4.980465,5.329583,8.62294,7.8295,1,0.711,0,0,2.246,13.77,3.444444,16.22416,18.44888,0.596377,4400.03,84.8658,66.00996,5.109001,0,0,0,68.475,0,1992,1992,373.7778,1,0,8.389366,0,1,0,0,1992,4.070735,0.153,0.04,7.222222,1.898962,6.903334,1,0.4155155,0.3944263,1,0,1.293967,49.5,0,1,0,0,3.444444,49.5,0.04,0,0,0,0,9.2,2001,5.6,1996,4.2,1992,,, ,1932,5,0,44,44,52.60663507,0,7104,0,0,1,1,0
Trinidad&Tob,1,1,369,1,37,0.852,0,0,1,0,0,0,0,13.2,35.8,0,0.2312698,3.95846,3.97897,9.77864,8.58425,0,0.616,0.929,0.965,3.412,10.418,1.277778,28.06996,28.01379,4.289944,7616.894,86.71415,62.81775,6.363929,0,0,1,89.38333,0,1962,1962,36.44444,1,0,8.938124,0,1,0,0,1962,0.2438356,0.1157556,0.19,9,0.2209874,,1,1,1,0,0,14.79673,42,0,1,0,0,1.277778,42,0.19,0,0,0,0,19.4,2002,16.7,2001,11.1,2000,11.1,1995, ,1946,7,0,49,30,54.75113122,1,9124,0,0,1,1,0
Turkey,0,0,186,0,250,0,0,0,0,0,1,0,0,0,0.1,0,0.1635684,5.824544,5.69774,8.95259,8.13885,0.133,0.601,0,0,2.421,41.202,4.055555,24.06719,16.9092,1.179869,3995.748,41.00135,62.89411,5.076429,0,0,0,74.97143,0,1982,1982,494.4445,0,0,8.292986,0,0,0,0,1982,4.090169,0.4578,0.09,8.111111,-5.458316,6.391666,1,0.1922334,0.1881437,0,0,1.335931,44,0,0,1,494.4445,0,0,0,0,0,0,1,4.4,2002,4.2,1999,2.4,1995,1.8,1991, ,1930,4,0,33,34,31.97278912,2,5193,0,1,0,1,1
USA,1,1,111,0,250,0,0,0,1,0,0,0,0,43.6,30,0,0.2090314,2.268298,2.186325,10.47556,8.8269,1,0.947,0.886,0.972,0.94,34.36,1,21.87741,20.23823,6.431568,18844.28,23.03455,65.44537,12.57293,1,0,0,99.16667,0,1800,1800,435,1,1,9.843965,0,0,1,0,1800,5.560921,0.3817778,1,10,-2.52748,2.356667,1,1,0.6666667,0,1,1.555806,37.5,0,0,0,0,1,37.5,1,1,37.5,1,0,14,2000,13.3,1998,11.7,1996,11,1994,0.2,1920,7,0,50,41,50.73891626,17,26397,0,0,0,0,1
Uganda,1,1,746,1,37,0.852,0,0,1,0,0,0,0,1.9,49.6,0,0.8358,5.501158,5.931887,7.02369,7.33035,0.156,0.368,0,0,2.563,0.228,4.888889,14.65232,19.25434,,618.2991,30.8297,49.04804,2.366587,0,1,0,49.35,,,,276,1,1,6.426972,0,0,1,0,1994,2.923397,0.0025333,0.03,-4.333333,,7.5475,0,1,,0,0,0.3531978,,0,0,1,0,4.888889,,0.03,4.888889,,0.03,0,23.9,2001,17.8,1996,17.4,1994,,, ,1962,4,0,26,40, ,0,1370,0,0,1,1,0
Uk,1,1,112,0,250,0,0,0,1,0,0,0,0,16.1,13.1,0,0.1062846,1.067758,1.586953,10.15717,8.83759,0.778,0.933,0.974,0.974,2.6,51.51,1.5,40.37266,36.10271,14.61691,13586.18,54.16156,64.96465,15.861,0,0,0,114.9,0,1837,1837,652.5555,1,0,9.516809,0,1,0,0,1837,4.06665,0.5723333,0.815,10,-3.235131,1.461667,1,1,1,0,1,2.196796,29.5,0,0,0,0,1.5,29.5,0.815,0,0,0,0,17.9,2001,18.2,1997,9.2,1994,,,64.8,1918,7,0,50,39,43.82022472,11,18620,0,0,0,1,1
Ukraine,0.9,0.9,926,0,8,0,0,0.968,0,1,0,0,0,0,0,0,0.4186,6.785817,6.783311,,,,,,,,,3.4375,,,,893.3627,70.71071,66.47695,13.30226,,0,0,89.925,0.5,1992.875,1991,450,1,0,6.794993,0,0.8,0,0,1991,3.94219,,0.045,6.375,,7.7,0,0.9,0.0088496,0,0,,25.71,0,0,1,45.00001,3.4375,25.71,0.045,0,0,0,0,5.3,2002,7.8,1998,3.8,1994,2.4,1990, ,1919,5,0,52,46, ,2,2718,0,0,1,1,1
Uruguay,0,0,298,0,171,0,0.316,0,0,0,1,0,0,1.9,59.5,0,0.0666667,3.764415,4.14077,9.39568,8.27988,0.111,0.564,0,1,2.837,-34.822,1.666667,29.38198,29.85934,17.92558,5402.426,43.42255,62.5851,12.06819,0,0,1,95.17142,0.5,1985,1985,99,0,1,8.594604,0,0,0,1,1985,1.161814,0.3869111,0.075,10,-0.6504872,5.72,1,0.1111111,0.0568012,0,0,0.2216485,,0,0,1,99,0,,0,1.666667,,0.075,0,12.1,1999,7.1,1994,6.1,1989,,, ,1932,7,0,53,32,61.08949416,1,6752,1,0,0,1,0
Venezuela,0.3349754,0.3349754,299,0,188,0,0.248,0,0,0,1,0,0,1,94.8,0,0.0525,6.698416,6.449771,9.77162,8.65192,0.311,0.612,0,0.969,2.191,9.843,2.555556,19.34534,20.12511,,6660.618,52.77753,59.34188,4.073095,1,0,1,84.27143,0,1981.333,1958,202.3333,0,1,8.803967,0,0,0,1,1958,3.063079,0.1093667,0.21,8.222222,-1.286982,7.411667,1,0.4486517,0.1697613,0,0,17.19999,49.5,0,1,0,134.5567,0,0,0,2.555556,49.5,0.21,0,,2000,13.1,1998,5.9,1993,,, ,1946,6,0,55,28,55.15695067,0,8120,1,0,0,1,0
Zambia,1,1,754,1,35,0.86,0,0,1,0,0,0,0,31.9,26.2,0,0.8294,5.797871,6.228558,7.49617,6.28446,0.044,0.424,0,0,2.625,-12.942,3.833333,25.23639,19.67239,0.4420471,659.1872,73.76629,50.19071,2.336754,0,1,0,71.425,0,1991,1991,150,1,1,6.491007,0,0,1,0,1991,2.167313,0.1438,0.045,2.666667,,6.533333,0,1,1,0,0,17.42976,47.255,0,0,1,0,3.833333,47.255,0.045,3.833333,47.255,0.045,0,12.7,2001,10.1,1996,6.7,1991,,, ,1962,3,0,35,30,31.97278912,0,962,0,0,1,1,1
Zimbabwe,1,1,698,1,19,0.924,0,0,1,0,0,0,0,21.4,14.4,0,0.5986,7.258331,5.637467,7.74836,7.05284,0,0.545,0.074,0.074,2.422,-17.876,4.888889,31.23202,25.5816,3.231369,1201.984,69.16644,53.85599,2.804576,0,1,0,87.625,0,,,120,1,1,7.091729,0,0,1,0,1989,2.375006,0.1986222,0.055,-6,-6.772184,6.233334,0,1,1,0,0,3.037324,56.83,0,0,1,0,4.888889,56.83,0.055,4.888889,56.83,0.055,0,10,2000,14,1995,12,1990,,, ,1957,3,0,42,33,40.11976048,0,2196,0,0,1,1,0
